IdDocumentoCONPES,Titulo,Numero,FechaAprobacion,URL,URLPAS,URLOtros
4576,Modficación del Documento CONPES 3657 Concepto favorable a la nación para contratar empréstitos externos hasta por USD 2.006 millones destinados a financiar parcialmente los aportes de la nación de los SITM y SETP,3946,2018-09-17,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3946.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Adenda No1 Documento CONPES 3946.pdf,
4563,"Apoyo Gobierno nacional a Sistema de Transporte Público de Bogotá  y Declaración de importancia estratégica ""Construcción del tramo 1 PLMB"" del cual hacen parte las troncales alimentadoras Av.68 y Av. Ciudad de Cali",3945,2018-08-04,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3945.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Plan de Acción y Seguimiento_3945.xlsx,
4579,Estrategia para el Desarrollo Integral del Departamento de La Guajira y sus pueblos indígenas,3944,2018-08-04,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3944_ajustado.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Plan de Acción y Seguimiento_3944_ajustado.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo B. Documento CONPES 3944.pdf|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3944_Adenda.pdf
4558,Política para le mejoramiento del aire,3943,2018-07-31,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3943.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Plan de Acción y Seguimiento_3943.xlsx,
4569,Contrato Plan para la Paz y el Posconflicto entre la nación y el departamento del Valle del Cauca,3941,2018-07-27,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3941.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Matriz de proyectos CPaz Valle del Cauca.xlsx,
4571,Contrato Plan para la Paz y el Posconflicto entre la nación y el departamento de Guainía,3942,2018-07-27,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3942.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Matriz de proyectos CPaz Guainía.xlsx,
4550,"Delimitación de la Zona de Interés de Desarrollo Rural, Económico y Social en el municipio de Puerto López (Meta)",3940,2018-07-17,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3940.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A_Documento CONPES 3940.pdf,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo B_Documento CONPES 3940.pdf
4548,"Declaración de importancia estratégica del proyecto de inversión ""Fortalecimiento de la Reducción del riesgo de desastres, en le marco de la Ley 1523 de 2012, por fenómeno de erosión costera en la ciudad de Cartagena""",3937,2018-07-13,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3937.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Plan de Acción y Seguimiento_3937.xlsx,
4568,"Plan Operativo Anual de Inversiones, vigencia 2019",3939,2018-07-13,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3939.pdf,,
4596,Marco de Gasto de Mediano Plazo 2019-2022,3938,2018-07-13,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3938.pdf,,
4540,Política de Crecimiento Verde,3934,2018-07-10,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3934.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A_Plan de Acción y Seguimiento (PAS)_3934.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexos Documento CONPES 3934.pdf
4539,"Concepto favorable a la Nación para otorgar garantía al Fondo Empresarial, creado por la Ley 812 de 2003, para contratar operaciones pasivas de crédito hasta por la suma de 735.000 millones de pesos y se modifica el Documento CONPES 3910 de 2017",3933,2018-07-05,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3933.pdf,,
4536,"Lineamientos para la articulación del Plan Marco de Implementación del Acuerdo Final con los instrumentos de planeación, programación y seguimiento a políticas públicas del orden nacional y territorial",3932,2018-06-29,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3932.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3932_Anexo A_Plan de Acción y Seguimiento (PAS).xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3932_Anexo B_Plan Marco de Implementación (PMI).pdf
4543,Política Nacional para la Reincorporación Social y Económica de Exintegrantes de las FARC-EP,3931,2018-06-22,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3931.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. Plan de Acción y Seguimiento_3931.xlsx,"|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo B. PMI, capítulo 1, sección Fin del Conflicto.pdf"
4534,"Declaración de importancia estratégica del proyecto Construcción, adquisición, adecuación y mantenimiento de las sedes de la Escuela Superior de Administración Pública Nacional",3930,2018-06-15,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3930.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Plan de Acción y Seguimiento_3930.xlsx,
4611,Meta de Balance Primario y Nivel de Deuda del Sector Público No Financiero (SPNF),3929,2018-06-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3929.pdf,,
4527,Política de Adecuación de Tierras 2018-2038,3926,2018-05-23,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3926.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3926_Plan de Acción y Seguimiento (PAS).xlsx,
4530,Estrategia de Gestión del Portafolio de Empresas y Participaciones Accionarias de la Nación,3927,2018-05-23,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3927.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3927_Plan de Acción y Seguimiento PAS.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3927_Anexo B_Listado empresas portafolio Nación.xlsx
4521,"Concepto favorable a la nación para contratar un empréstito externo con la banca multilateral hasta por USD 18 millones, o su equivalente en otras monedas, destinado a financiar el Programa de Fortalecimiento de la Capacidad Institucional Defensoría",3925,2018-05-18,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3925.pdf,,
4517,"Declaración de importancia estratégica continuación obras Autopista Ruta del Sol, sector II ",3924,2018-05-10,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3924.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3924_PAS.xlsx,
4519,"Concepto favorable Nación para otorgar garantía a Empresa Metro de Bogotá para contratar operaciones crédito público interno o externo hasta por 7,8 billones de pesos constantes de diciembre de 2017 para PLMB-tramo1",3923,2018-05-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3923.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A_ 3923_Convenio Cofinanciacion.pdf,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Adenda nro 1 Documento CONPES 3923.pdf
4515,Declaración de importancia estratégica del proyecto de Fortalecimiento Institucional de la Contraloría General de República-Préstamo BID Nacional,3922,2018-05-03,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3922.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3922_Anexo A_Plan de Acción y Seguimiento (PAS).xlsx,
4514,"Instrucciones a los representantes de la nación y sus entidades para la destinación de utilidades de las empresas industriales y comerciales del Estado societarias y las sociedades de economía mixta del orden nacional, con corte a 31 de diciembre de 2017",3921,2018-04-18,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3921.pdf,,
4511,Política Nacional de Explotación de Datos (Big Data),3920,2018-04-17,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3920.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3920_anexos.pdf,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3920_Plan de Acción y Seguimiento (PAS).xlsx
4509,Política Nacional de Edificaciones Sostenibles,3919,2018-03-23,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3919.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3919_Plan de Acción y Seguimiento (PAS).xlsx,
4506,Estrategia para la implementación de los Objetivos de Desarrollo Sostenible (ODS) en Colombia,3918,2018-03-15,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3918.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3918_Plan de Acción y Seguimiento (PAS).xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3918_anexos.pdf
4498,Declaración de importancia estratégica del proyecto Mejoramiento y mantenimiento carretera Santafé de Bogotá-Chiquinquirá-Bucaramanga-San Alberto de la Troncal Central. Cundinamarca-Santander-Norte de Santander - Construcción variante San Gil,3916,2018-02-07,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3916.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3916_PAS.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo C. Acta de la audiencia pública recursos  Isagén departamento de Santander.pdf
4501,"Áreas de referencia como insumo para la identificación de las Zonas de Interés de Desarrollo Rural, Económico y Social (Zidres)",3917,2018-02-07,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3917.pdf,,
4502,Lineamientos de política y estrategias para el desarrollo regional sostenible del Macizo colombiano,3915,2018-01-16,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3915.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3915_PAS.xlsx,
4494,Modificación del Documento CONPES 3880 Declaración de importancia estratégica del proyecto de inversión Apoyo para fomentar el acceso con calidad a la educación superior a través de incentivos a la demanda en Colombia,3914,2018-01-05,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3914.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3914_Anexo_Plan de Acción y Seguimiento (PAS).xlsx,
4493,Reajuste de avalúos catastrales para la vigencia 2018,3913,2017-12-21,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3913.pdf,,
4492,"Distribución de los excedentes financieros de los establecimientos públicos y de las empresas industriales y comerciales del Estado no societarias, del orden nacional, al 31 de diciembre de 2016",3912,2017-12-15,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3912.pdf,,
4490,Proyectos de patrimonio cultural sumergido bajo el esquema de asociación público-privada de iniciativa privada: lineamientos para la distribución de riesgos,3911,2017-12-07,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3911.pdf,,
4489,"Concepto favorable a la nación para otorgar garantía al fondo empresarial, creado por la Ley 812 de 2003, para contratar operaciones pasivas de crédito interno hasta por la suma de 320.000 millones de pesos",3910,2017-11-27,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3910.pdf,,
4487,Declaración de importancia estratégica del Museo Nacional de la Memoria,3909,2017-11-20,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3909.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3909_PAS.xlsx,
4485,"Declaración de importancia estratégica del proyecto Construcción, adecuación y dotación de escenarios deportivos, recreativos, lúdicos y de actividad física en Colombia",3908,2017-11-07,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3908.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3908_PAS_.xlsx,
4477,"Concepto favorable a la nación para contratar un empréstito externo con la banca multilateral hasta por USD 40 millones, o su equivalente en otras monedas, destinado a financiar el Programa de Fortalecimiento de la Gestión Institucional de la PGN ",3907,2017-11-03,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3907.pdf,,
4481,Declaratoria importancia estratégica del proyecto Mejoramiento y mantenimiento de vías para la conectividad regional. Nación - para la ejecución del proyecto de infraestructura vial con impacto regional financiado con recursos de la enajenación de Isagén,3906,2017-11-03,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3906.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3906_PAS.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo D_Actas audiencias.zip
4479,Modificación al Documento CONPES 3879  “Declaración de importancia estratégica del proyecto Implementación Obras para la Prosperidad a Nivel Nacional – FIP– y modificación al Documento CONPES 3777 Importancia estratégica del mismo proyecto,3905,2017-11-01,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3905.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3905_PAS.xlsx,
4467,"Declaratoria de importancia estratégica del proyecto Mejoramiento y Mantenimiento de Vías para la Conectividad Regional. nación (Programa estratégico de infraestructura para el transporte, enmarcado en el Contrato Plan Boyacá Bicentenario)",3903,2017-10-31,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3903.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3903_PAS.xlsx,
4469,"Plan para la Reconstrucción de Mocoa 2017-2022, concepto favorable a la nación para contratar un empréstito externo por USD 30 millones para financiar la implementación del Plan Maestro de Alcantarillado, y DIE del Plan Maestro de Alcantarillado",3904,2017-10-31,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3904.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3904_PAS.xlsx,
4465, Declaratoria de importancia estratégica del proyecto RegioTram de Occidente,3902,2017-10-27,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3902.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3902_PAS.xlsx,
4464,"Concepto favorable a la nación para contratar operaciones de crédito público externo hasta por la suma de USD 100 millones, o su equivalente en otras monedas, destinadas a financiar parcialmente el programa Colombia Sostenible",3901,2017-10-13,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3901.pdf,,
4463, Apoyo del Gobierno nacional al Sistema de transporte público de Bogotá y declaratoria de importancia estratégica del proyecto Primera Línea de Metro-tramo 1,3900,2017-09-25,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3900.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3900_PAS.xlsx,
4450, Actualización del Documento CONPES 3882 Apoyo del gobierno nacional a la política de movilidad de la Región Capital Bogotá-Cundinamarca y declaratoria de importancia estratégica del proyecto Sistema Integrado de Transporte Masivo – Soacha fases II y III,3899,2017-09-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3899.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3899_PAS.xlsx,
4448,"Capitalización de Colombia Telecomunicaciones S.A. E.S.P. para el prepago de la totalidad del contrato de explotación de bienes, activos y derechos celebrado con el Parapat y el pago de la totalidad del laudo arbitral",3898,2017-08-29,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3898.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/PAS_3898.xlsx,|https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3898_Adenda1.pdf
4441,Seguimiento de la Política Nacional de Transporte Urbano y Masivo: lineamientos para la redistribución de componentes cofinanciables de los SETP,3896,2017-08-22,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3896.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3896_PAS.xlsx,
4443,"Modificación del Documento CONPES 3848 Importancia estratégica del Programa de cobertura condicionada de tasa de interés para créditos de vivienda no VIS, FRECH no VIS",3897,2017-08-22,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3897.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3897_PAS.xlsx,
4434,"Actualización del Documento CONPES 3834 Lineamientos de política para estimular la inversión privada en ciencia, tecnología e innovación a través de deducciones tributarias",3892,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3892.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3892_PAS.xlsx,
4436,Contrato plan para la paz y el posconflicto entre la nación y el departamento de Caquetá,3893,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3893.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3893_AnexoA.Matriz-de-proyectos.xlsx,
4438,Contrato plan para la paz y el posconflicto entre la nación y el departamento de Guaviare,3894,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3894.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3894_AnexoA.Matriz-de-proyectos.xlsx,
4440,Contrato plan para la paz y el posconflicto entre la nación y el departamento de Meta,3895,2017-08-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3895.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3895_AnexoA.Matriz-de-proyectos.xlsx,
4505,Marco de Gasto de Mediano Plazo 2018-2021,3890,2017-07-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3890.pdf,,
4560,"Plan Operativo de Inversiones, vigencia 2018",3891,2017-07-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3891.pdf,,
4429,Declaración de importancia estratégica del proyecto Vías para el Chocó: Transversal Quibdó-Medellín y Transversal Central del Pacífico,3889,2017-06-16,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3889.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3889_PAS.xlsx,
4533,Meta de balance primario y nivel de deuda del sector público no financiero (SPNF) para 2018,3888,2017-06-14,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3888.pdf,,
4425,"Distribución de los recursos del Sistema General de Participaciones para la atención integral de la primera infancia, vigencia 2017",3887,2017-05-30,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3887.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3887_AnexoC_Dist-SGP-primera-infancia-2017.xlsx,
4421,Contrato plan para la paz y el posconflicto entre la nación y los departamentos de Bolívar y Sucre,3885,2017-05-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3885.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3885_AnexoA.Matriz-de-proyectos.xlsx,
4432,Lineamientos de política y Programa Nacional de Pago por Servicios Ambientales para la construcción de paz y su Plan de Acción y Seguimiento (PSA),3886,2017-05-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3886.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3886_PAS.xlsx,
4418,"Instrucciones a los representantes de la nación y sus entidades para la destinación de utilidades de las empresas industriales y comerciales del Estado societarias y las sociedades de economía mixta del orden nacional, con corte a 31 de diciembre de 2016",3884,2017-04-28,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3884.pdf,,
4415,"Adopción de la medida correctiva de asunción temporal de la competencia de la prestación de los servicios de salud, educación, alimentación escolar, y agua potable y saneamiento básico en el departamento de La Guajira, en aplicación del Decreto 028/2008",3883,2017-02-21,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3883.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3883_AnexoD.Informe-de-seguimiento-del-sector-de-agua-potable-y-saneamiento-basico.pdf,
4404,Apoyo del Gobierno nacional a la política de movilidad de la región capital Bogotá-Cundinamarca y declaratoria de importancia estratégica del proyecto Sistema integrado de transporte masivo – Soacha fases II y III,3882,2017-01-10,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3882.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/3882_PAS.xlsx,
